college_name,College Name
"Government College of Engineering, Amravati","Government College of Engineering, Amravati"
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Shri Sant Gajanan Maharaj College of Engineering
"Jawaharlal Darda Institute of Engineering and Technology, Yavatmal",Jawaharlal Darda Institute of Engineering and Technology
"Shri Hanuman Vyayam  Prasarak Mandals College of Engineering & Technology, Amravati",Hanuman Vyayam Prasarak Mandal's College of Engineering and Technology
"Dr.Rajendra Gode Institute of Technology & Research, Amravati",Dr Rajendra Gode Institute of Technology and Research
"Prof Ram Meghe College of Engineering  and Management, Badnera",Prof Ram Meghe College of Engineering and Management
"Government College of Engineering,  Aurangabad","Government College of Engineering, Aurangabad"
"G. S. Mandal's Maharashtra Institute of Technology, Aurangabad",GS Mandal's Maharashtra Institute of Technology
"Deogiri Institute of Engineering and Management Studies, Aurangabad",Deogiri Institute of Engineering and Management Studies
"M.S. Bidve Engineering College, Latur",MS Bidve Engineering College
"Hi-Tech Institute of Technology, Aurangabad",Hi-Tech Institute of Technology
"Aditya Engineering College , Beed",Aditya Engineering College
"Matsyodari Shikshan Sansatha's College of Engineering and Technology, Jalna",Matsyodari Shikshan Sanstha's College of Engineering and Technology
"Adarsh Shikshan Prasarak Mandal's K. T. Patil College of Engineering and Technology, Osmanabad",Adarsh Shikshan Prasarak Mandal's KT Patil College of Engineering and Technology
"CSMSS Chh. Shahu College of Engineering, Aurangabad",CSMSS CHH Shahu College of Engineering
"Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai",Veermata Jijabai Technological Institute
"Dr. Babasaheb Ambedkar Technological University, Lonere",Dr Babasaheb Ambedkar Technological University
"Institute of Chemical Technology, Matunga, Mumbai",Institute of Chemical Technology
"Vidyalankar Institute of Technology,Wadala, Mumbai",Vidyalankar Institute of Technology
"Thakur College of Engineering and Technology, Kandivali, Mumbai",Thakur College of Engineering and Technology
"Thadomal Shahani Engineering College, Bandra, Mumbai",Thadomal Shahani Engineering College
"Fr. Conceicao Rodrigues College of Engineering, Bandra,Mumbai",Fr Conceicao Rodrigues College of Engineering
"Vivekanand Education Society's Institute of Technology, Chembur, Mumbai",Vivekanand Education Society's Institute of Technology
"Bharati Vidyapeeth College of Engineering,  Navi Mumbai",Bharati Vidyapeeth College of Engineering
"Smt. Indira Gandhi College of Engineering, Navi Mumbai",Smt Indira Gandhi College of Engineering
"Vidyavardhini's College of Engineering and Technology, Vasai",Vidyavardhini's College of Engineering and Technology
"Atharva College of Engineering,Malad(West),Mumbai",Atharva College of Engineering
"St. Francis Institute of Technology,Borivali, Mumbai",St Francis Institute of Technology
"Don Bosco Institute of Technology, Mumbai",Don Bosco Institute of Technology
"A. P. Shah Institute of Technology, Thane",AP Shah Institute of Technology
"Chhartrapati Shivaji Maharaj Institute of Technology, Shedung, Panvel",Chhatrapati Shivaji Maharaj Institute of Technology
"Government College of Engineering, Chandrapur","Government College of Engineering, Chandrapur"
"Laxminarayan Institute of Technology, Nagpur",Laxminarayan Institute of Technology
"Shri Ramdeobaba College of Engineering and Management, Nagpur",Shri Ramdeobaba College of Engineering and Management
"Guru Nanak Institute of Engineering & Technology,Kalmeshwar, Nagpur",Guru Nanak Institute of Engineering and Technology
"K.D.K. College of Engineering, Nagpur",KDK College of Engineering
"Yeshwantrao Chavan College of Engineering,Wanadongri, Nagpur",Yeshwantrao Chavan College of Engineering
"Anjuman College of Engineering & Technology, Nagpur",Anjuman College of Engineering and Technology
"ST. Vincent Pallotti College of Engineering & Technology, Nagpur",St Vincent Pallotti College of Engineering and Technology
"JMSS Shri Shankarprasad Agnihotri College of Engineering, Wardha",Shri Shankarprasad Agnihotri College of Engineering
"Bajaj Institute of Technology, Wardha",Bajaj Institute of Technology
"Government College of Engineering, Jalgaon","Government College of Engineering, Jalgaon"
"Shri Shivaji Vidya Prasarak Sanstha's Late Bapusaheb Shivaji Rao Deore College of Engineering,Dhule",Shri Shivaji Vidya Prasarak Sanstha's Bapusaheb Shivajirao Deore College of Engineering
"Shramsadhana Bombay Trust, College of Engineering & Technology, Jalgaon",Shram Sadhana Bombay Trust's College of Engineering and Technology
"Maratha Vidya Prasarak Samaj's Karmaveer Adv. Baburao Ganpatrao Thakare College Of Engineering, Nashik",NDMVP Samaj's Karmaveer Adv Baburao Ganpatrao Thakare College of Engineering
"K. K. Wagh Institute of Engineering Education and Research, Nashik",KK Wagh Institute of Engineering Education and Research
"G H Raisoni Institute of Engineering and Business Management, Jalgaon",GH Raisoni Institute of Engineering and Management
"R. C. Patel Institute of Technology, Shirpur",RC Patel Institute of Technology
"Matoshri College of Engineering and Research Centre, Eklahare, Nashik",Matoshri College of Engineering and Research Centre
"Government College of Engineering, Karad","Government College of Engineering, Karad"
"Walchand College of Engineering, Sangli",Walchand College of Engineering
"Genba Sopanrao Moze Trust Parvatibai Genba Moze College of Engineering,Wagholi, Pune",Genba Sopanroa Moze Trust's Parvatibai Genba Moze College of Engineering
"Progressive Education Society's Modern College of Engineering, Pune",Modern Education Society's College of Engineering
"Genba Sopanrao Moze College of Engineering, Baner-Balewadi, Pune",Genba Sopanrao Moze College of Engineering
"JSPM'S Jaywantrao Sawant College of Engineering,Pune",Jayawantrao Sawant College of Engineering
"MIT Academy of Engineering,Alandi, Pune",MIT Academy of Engineering
"G.H.Raisoni College of Engineering & Management, Wagholi, Pune",GH Raisoni College of Engineering and Management
"Marathwada Mitra Mandal's College of Engineering, Karvenagar, Pune",Marathwada Mitra Mandal's College of Engineering
"JSPM's Imperial College of Engineering and Research, Wagholi, Pune",Imperial College of Engineering and Research
"Sinhgad College of Engineering, Vadgaon (BK), Pune",Sinhgad College of Engineering
"Indira College of Engineering & Management, Pune",Indira College of Engineering and Management
"Sinhagad Institute of Technology, Lonavala",Sinhgad Institute of Technology
"D.Y. Patil College of Engineering and Technology, Kolhapur",DY Patil College of Engineering and Technology
"Walchand Institute of Technology, Solapur",Walchand Institute of Technology
"MKSSS's Cummins College of Engineering for Women, Karvenagar,Pune",MKSSS's Cummins College of Engineering for Women
"Modern Education Society's College of Engineering, Pune",Modern Education Society's College of Engineering
"All India Shri Shivaji Memorial Society's Institute of Information Technology,Pune",All India Shri Shivaji Memorial Society's Institute of Information Technology
"Bharati Vidyapeeth's College of Engineering for Women, Katraj, Dhankawadi, Pune",Bharati Vidyapeeth's College of Engineering for Women
"Bharati Vidyapeeth's College of Engineering, Kolhapur",Bharati Vidyapeeth's College of Engineering
"S.D.N.C.R.E.S'S.Late Narayandas Bhawandas Chhabada Institute of Engineering & Technology, Satara",SDNCRES's Late Narayandas Bhawandas Chhabada Institute of Engineering and Technology
"Vidya Vikas Pratishthan Institute of Engineering and Technology, Solapur",Vidya Vikas Pratishthan Institute of Engineering and Technology
"Shree Ramchandra College of Engineering, Lonikand,Pune",Shree Ramchandra College of Engineering
"NBN Sinhgad Technical Institutes Campus, Pune",NBN Sinhgad Technical Institutes Campus
"Bhagwant Institute of Technology, Barshi",Bhagwant Institute of Technology
"Anantrao Pawar College of Engineering & Research, Pune",ABMSP's Anantrao Pawar College of Engineering and Research
"Bharati Vidyapeeth's College of Engineering,Lavale, Pune",Bharati Vidyapeeth's College of Engineering for Women
"Keystone School of Engineering, Pune",Keystone School of Engineering
"Vidya Prasarini Sabha's College of Engineering & Technology, Lonavala",Vidya Prasarini Sabha's College of Engineering and Technology
"MAEER's MIT College of Railway Engineering and Research, Jamgaon, Barshi",MAEER's MIT College of Railway Engineering and Research
